id;idAnalyse;temps;distance
1;1;5.67;13.85179153
2;1;6.18;15.07619048
3;1;6.68;16.02857143
4;1;7.22;17.05714286
5;1;7.71;17.99047619
6;1;8.19;18.9047619
7;1;8.67;19.81904762
8;1;9.11;20.65714286
9;1;9.61;21.60952381
10;1;10.1;22.54285714
11;1;10.53;23.36190476
12;1;11.03;24.31428571
13;1;11.53;25.25688073
14;1;12.03;26.17431193
15;1;12.5;27.03669725
16;1;13;27.95412844
17;1;13.5;28.87155963
18;1;13.98;29.75229358
19;1;14.48;30.66972477
20;1;14.95;31.53211009
21;1;15.48;32.50458716
22;1;16.03;33.51376147
23;1;16.55;34.46788991
24;1;17.07;35.42201835
25;1;17.54;36.28440367
26;1;18.03;37.18348624
27;1;18.5;38.04587156
28;1;18.97;38.90825688
29;1;19.46;39.80733945
30;1;19.94;40.68807339
31;1;20.43;41.58715596
32;1;20.89;42.43119266
33;1;21.43;43.42201835
34;1;21.91;44.30275229
35;1;22.41;45.23076923
36;1;22.94;46.25
37;1;23.45;47.23076923
38;1;23.95;48.19230769
39;1;24.5;49.25
40;2;6.87;16.04166667
41;2;7.36;16.96969697
42;2;7.9;17.99242424
43;2;8.44;19.01515152
44;2;8.96;20
45;2;9.5;21.02272727
46;2;10.03;22.02651515
47;2;10.54;22.99242424
48;2;11.23;24.29924242
49;2;11.76;25.29304029
50;2;12.35;26.37362637
51;2;12.86;27.30769231
52;2;13.43;28.35164835
53;2;13.99;29.37728938
54;2;14.55;30.4029304
55;2;15.12;31.44688645
56;2;15.71;32.52747253
57;2;16.22;33.46153846
58;2;16.8;34.52380952
59;2;17.4;35.62271062
60;2;17.96;36.64835165
61;2;18.53;37.69230769
62;2;19.08;38.6996337
63;2;19.64;39.72527473
64;2;20.25;40.84249084
65;2;20.81;41.86813187
66;2;21.46;43.05860806
67;2;22;44.04761905
68;2;22.59;45.14344262
69;2;23.14;46.2704918
70;2;23.76;47.54098361
71;2;24.36;48.7704918
72;2;24.95;49.9795082
73;3;5.86;13.31818182
74;3;6.34;14.40909091
75;3;6.86;15.4887218
76;3;7.42;16.54135338
77;3;7.9;17.44360902
78;3;8.45;18.47744361
79;3;8.97;19.45488722
80;3;9.49;20.43233083
81;3;10;21.39097744
82;3;10.53;22.38721805
83;3;11.08;23.42105263
84;3;11.62;24.43609023
85;3;12.14;25.38732394
86;3;12.71;26.39084507
87;3;13.2;27.25352113
88;3;13.76;28.23943662
89;3;14.3;29.19014085
90;3;14.87;30.19366197
91;3;15.38;31.0915493
92;3;15.95;32.09507042
93;3;16.51;33.08098592
94;3;17.06;34.04929577
95;3;17.58;34.96478873
96;3;18.14;35.95070423
97;3;18.66;36.86619718
98;3;19.24;37.88732394
99;3;19.81;38.89084507
100;3;20.36;39.85915493
101;3;20.95;40.89788732
102;3;21.56;41.97183099
103;3;22.11;42.94014085
